rv,jumps,dts,vix,rets,c,vixann
4.5244e-05,0.0,['12/03/1990'],0.00013320267857142856,0.002187408498551363,4.52436626840454e-05,20.07
4.1493e-05,0.0,['13/03/1990'],0.00014652860449735453,-0.007915021978361077,4.1493070408427e-05,21.05
2.5976e-05,0.0,['14/03/1990'],0.0001276860119047619,0.0025859392893527716,2.59761086258047e-05,19.65
2.5001e-05,0.0,['15/03/1990'],0.00011700267857142857,0.0035558753798106447,2.50013477649398e-05,18.81
4.8262e-05,2.95237414493364e-05,['16/03/1990'],0.00010266679894179899,0.011294569903385978,1.87386315277836e-05,17.62
7.4848e-05,0.0,['19/03/1990'],0.00011062304894179892,0.004726899557603921,7.48475509664889e-05,18.29
7.1437e-05,0.0,['20/03/1990'],0.0001201334656084656,-0.005721808049573341,7.14366113256315e-05,19.06
1.4691e-05,0.0,['21/03/1990'],0.0001336011904761905,-0.005372016852619344,1.46907657943693e-05,20.1
8.0289e-05,0.0,['22/03/1990'],0.00017100119047619046,-0.011992504150500405,8.02889957049279e-05,22.74
1.6863e-05,0.0,['23/03/1990'],0.0001384297619047619,0.004547421309169892,1.68628419541687e-05,20.46
5.4683e-05,3.48115886469786e-05,['26/03/1990'],0.00012690744047619048,0.0012150849831657792,1.98718344857441e-05,19.59
3.6066e-05,0.0,['27/03/1990'],0.00014597225529100529,0.011397057677844344,3.60656423487735e-05,21.01
2.541e-05,0.0,['28/03/1990'],0.0001292502976190476,0.0014630580517603152,2.54100375472448e-05,19.77
9.3437e-06,0.0,['29/03/1990'],0.00011268902116402118,-0.0035442852609552616,9.34370247989452e-06,18.46
6.2477e-05,3.89983532862803e-05,['30/03/1990'],0.00012872781084656088,-0.0024973203524445613,2.34790771250676e-05,19.73
0.00010128,0.0,['2/04/1990'],0.00017250846560846558,-0.0036543716254794287,0.000101281531860515,22.84
4.862e-05,0.0,['3/04/1990'],0.0001381592592592593,0.014479837946129667,4.86201397868861e-05,20.44
3.649e-05,0.0,['4/04/1990'],0.00016048971560846565,-0.007448225690865359,3.64901547498354e-05,22.03
2.0693e-05,0.0,['5/04/1990'],0.00014876458333333334,-0.0010559972821385375,2.0693454328745e-05,21.21
2.1785e-05,0.0,['6/04/1990'],0.0001565798941798942,-0.0019094907463171045,2.17851629924778e-05,21.76
9.0254e-06,0.0,['9/04/1990'],0.00016444775132275132,0.003786048986492354,9.02535107965925e-06,22.3
1.1354e-05,6.65113570931418e-06,['10/04/1990'],0.00015557410714285715,0.002048461444393056,4.7033469678221e-06,21.69
1.3231e-05,0.0,['11/04/1990'],0.00010395267857142859,-0.00043860291058246036,1.32306970366438e-05,17.73
2.0326e-05,0.0,['12/04/1990'],0.00012964285714285717,0.00705274977748852,2.03259268634396e-05,19.8
9.0529e-05,6.9791195411303e-05,['16/04/1990'],0.0001423817791005291,0.0011609683779191743,2.07376279924043e-05,20.75
3.2408e-05,2.0739270444142e-05,['17/04/1990'],0.0001373493386243386,-0.0001740593546792741,1.16687051261813e-05,20.38
2.7972e-05,0.0,['18/04/1990'],0.0001699500330687831,-0.01155542475660794,2.79723115798727e-05,22.67
